"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,4,-1062.96480534437,0,0.403064323764463
"2","mod2",NA,5,-1156.00688342281,0.028748416020455,0.4296616032084
"3","mod3",NA,6,-1053.76485205153,0.0197637110888545,0.409422175354638
"4","mod4",NA,8,-1083.87240573316,0.0519075062935211,0.413286810554798
"5","mod5",NA,6,-1250.61544634559,0.115537556722978,0.399311121202127
"6","mod6",NA,8,-1265.12337368502,0.143775746491882,0.361077548308921
"7","mod7",NA,9,-1256.15426671727,0.144132101173155,0.360673559435448
"8","mod8",NA,10,-1264.34069731141,0.150878242866748,0.373060459119126
"9","mod9",NA,11,-1257.46099194549,0.149698425369935,0.369826482607164
"10","mod10",NA,12,-1266.99578402113,0.160791947493438,0.378669258934813
"11","mod11",NA,12,-1194.6155143683,0.139622533798309,0.385099049767825
