Species,Family,Savanna/Generalist,rel_growth_06,rel_growth_11,Freq
Styrax pohlii A. DC.,STYRACACEAE,C,1.14,2.15,3
Miconia ligustroides (DC.) Naudin,MELASTOMATACEAE,C,1.14,1.13,17
Nectandra lanceolata Nees,LAURACEAE,G,1.14,1.13,1
Tapirira guianensis Aubl.,ANACARDIACEAE,G,1.15,1.19,125
Guapira noxia (Netto) Lundell,NYCTAGINACEAE,C,1.15,0.95,2
Dimorphandra mollis Benth.,FABACEAE,C,1.16,0.97,48
Symplocos mosenii Brand,SYMPLOCACEAE,G,1.16,1.39,8
Styrax ferrugineus Ness & Mart.,STYRACACEAE,C,1.17,1.22,3
Vochysia tucanorum Mart.,VOCHYSIACEAE,G,1.18,1.10,844
Maprounea guianensis Aubl.,EUPHORBIACEAE,G,1.20,1.23,58
Sclerolobium paniculatum Vogel,FABACEAE,G,1.22,0.95,5
Pouteria ramiflora (Mart.) Radlk.,SAPOTACEAE,C,1.24,1.17,8
Byrsonima coriacea (Sw.) DC. ,MALPIGHIACEAE,C,NA,1.09,6
Erythroxylum tortuosum Mart.,ERYTHROXYLACEAE,C,NA,1.00,6
Eugenia punicifolia,MYRTACEAE,G,NA,0.96,1
Ficus guaranitica Chodat,MORACEAE,G,NA,1.10,1
Lacistema hasslerianum Chodat.,LACISTEMATACEAE,G,NA,1.06,5
Lithraea molleoides (Vell.) Engl.,ANACARDIACEAE,G,NA,0.95,2
Miconia albicans (Sw.) Triana,MELASTOMATACEAE,C,NA,1.11,16
Piptocarpha axillaris (Less.) Baker,ASTERACEAE,G,NA,1.17,4
Rapanea gardneriana Mez.,MYRSINACEAE,G,NA,1.03,1
Symplocos pubescens Klotz.,SYMPLOCOCEAE,C,NA,0.98,2
Tibouchina stenocarpa (DC.) Cogn.,MELASTOMATACEAE,G,NA,0.99,2
