Species,Family,FT,Rel. Growth,Abundance
Amaioua intermedia Mart.,Rubiaceae,G,1.56,55
Vochysia tucanorum Mart.,Vochysiaceae,G,1.57,350
Gomidesia lindeniana,Myrtaceae,G,1.58,2
Guapira noxia (Netto) Lundell,Nyctaginaceae,C,1.59,1
Pouteria laurifolia (Gomes) Radlk,Sapotaceae,G,1.65,26
Styrax ferrugineus Ness & Mart.,Styracaceae,C,1.79,1
Miconia ligustroides (DC.) Naudin,Melastomataceae,C,1.87,5
Myrcia fallax (Rich.) DC.,Myrtaceae,G,1.89,4
Pseudolmedia laevigata Trécul,Moraceae,G,1.95,16
Siparuna guianensis Aubl.,Monimiaceae,G,2.00,47
Pouteria ramiflora (Mart.) Radlk.,Sapotaceae,C,2.14,6
Maprounea guianensis Aubl.,Euphorbiaceae,G,2.40,17
Styrax pohlii A. DC.,Styracaceae,C,2.74,2
