"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,4,-1434.7676304301,0,0.169996131753482
"2","mod2",NA,5,-1425.52321285313,0.000165397323884815,0.170004576298114
"3","mod3",NA,6,-1417.22203815377,0.00151714806033368,0.17435641954763
"4","mod4",NA,8,-1434.20461232848,0.00458203797178134,0.181269478723437
"5","mod5",NA,6,-1435.46935217687,0.01985403190449,0.215877789515988
"6","mod6",NA,8,-1459.06096096156,0.0565736015014167,0.22829767195091
"7","mod7",NA,9,-1452.88922282958,0.057943496349972,0.229170225602219
"8","mod8",NA,10,-1462.50377977854,0.0495471745756651,0.219833595569278
"9","mod9",NA,11,-1455.97974384264,0.0519534313555186,0.222026995197563
"10","mod10",NA,12,-1465.45446565356,0.0460130754127615,0.216313419520398
"11","mod11",NA,12,-1438.4466912416,0.030315835287612,0.182314565146769
