"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.83509737601318,0.449389431361696,-6.30877625987453,2.8125035082937e-10
"log(dg.2011.cm)",-0.0914778914090083,0.133315827658182,-0.686174275147244,0.492603217705789
"BA.above2011",1.15497275011575,0.206203654726683,5.60112647686402,2.12963273889887e-08
"C.Cerrado..G.generalist.G",0.0991187826179153,0.262316796695188,0.377859076760117,0.705535284501242
"poly(PC1, 2)1",-18.3220411823192,6.33363609077852,-2.89281558329429,0.00381805403092625
"poly(PC1, 2)2",17.6736717585969,4.0022040300187,4.41598469893957,1.00551197180208e-05
"poly(PC2, 2)1",1.7965902169703,3.44998886763852,0.520752467876818,0.602539218893696
"poly(PC2, 2)2",11.9345099308605,5.60011747639685,2.13111778121826,0.0330794401886996
"BA.above2011:C.Cerrado..G.generalist.G",-0.534404448003568,0.190798253941147,-2.80088751843823,0.00509622788755027
