"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.165329154763212,0.026746098087248,73.8322762972011,6.18143080997811,3.1816621862493e-08
"scale(log(dg.2011.cm))",-0.00689589118404583,0.00427438325787326,3822.42189045865,-1.61330670836403,0.106760436180641
"scale(BA.above2011)",-0.045117206787004,0.0106480840517733,3836.59225822728,-4.23711970788681,2.31725734552972e-05
"C.Cerrado..G.generalist.G",0.0683664069263101,0.0344143064829707,78.5653010798605,1.98656936353316,0.0504568530231548
"poly(PC1, 2)1",-1.3812448593351,0.431553304783491,3833.86953623185,-3.20063557392537,0.00138244159413083
"poly(PC1, 2)2",-0.137987471609709,0.271340055950473,3799.73192983987,-0.508540735448566,0.611103702655672
"poly(PC2, 2)1",0.761391567133527,0.235164039666891,3822.43099167788,3.23770406483932,0.00121525193336877
"poly(PC2, 2)2",0.265415270887919,0.381190756280861,3801.92490294591,0.696279399525525,0.486296434871963
"scale(BA.above2011):C.Cerrado..G.generalist.G",-0.0286254481990191,0.0107280290913673,3844.42890866167,-2.66828584777549,0.00765593921741225
