"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.223202441833239,0.0256975271075765,67.3650493335111,8.6857556720869,1.34308328754075e-12
"scale(log(dg.2006.cm))",-0.0220717636176393,0.00550014776563349,3291.067565486,-4.01294011690922,6.13026112192285e-05
"scale(BA.above2006)",-0.0958265825504277,0.0145215955999258,3276.9162151174,-6.59890174540579,4.81215842748997e-11
"C.Cerrado..G.generalist.G",0.0684769419317193,0.0335327814754944,62.3324705613653,2.04208952907059,0.0453792938847616
"poly(PC1, 2)1",-0.488115548526795,0.554281660420719,3297.74647289697,-0.880627275591797,0.378583763004647
"poly(PC1, 2)2",-0.784547015161633,0.34225398552697,3287.5916114677,-2.29229475283878,0.0219515381551151
"poly(PC2, 2)1",0.779184540824617,0.307098956078861,3295.67076666492,2.53724255781751,0.0112186782941486
"poly(PC2, 2)2",-0.621327370534626,0.472061221564476,3282.32853261574,-1.31620082767117,0.188198552239541
"scale(BA.above2006):C.Cerrado..G.generalist.G",-0.0254872200613826,0.0144973650137982,3225.93786877025,-1.75805879462403,0.078832329137159
