"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.3525224832147,0.453120010672905,-7.39875177491288,1.37470546008665e-13
"log(dg.2006.cm)",-0.218721881307532,0.14970752167048,-1.46099460379124,0.144016922327602
"BA.above2006",1.62631805671301,0.218555067701881,7.44122785078308,9.9753716582735e-14
"C.Cerrado..G.generalist.G",0.460007151835045,0.304816719019003,1.50912703645487,0.131266321555785
"poly(PC1, 2)1",-4.05471392143838,4.16033675143574,-0.974611951794308,0.329752782815842
"poly(PC1, 2)2",16.3899060593448,4.09369743492512,4.00369258351029,6.23613907061478e-05
"BA.above2006:C.Cerrado..G.generalist.G",-0.731235439037034,0.219698547329365,-3.32835809761086,0.000873594965078201
