"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,2,3319.16440227759,0.018057336437534,0.018057336437534
"2","mod2",NA,3,3339.52289024073,0.00492893161790337,0.00492893161790337
"3","mod3",NA,5,3338.90760689963,0.00741189434918968,0.00741189434918968
"4","mod4",NA,3,3315.03868986342,0.0218578548615864,0.0218578548615864
"5","mod5",NA,5,3272.50243840046,0.0433839920273208,0.0433839920273208
"6","mod6",NA,6,3273.06705723015,0.0430483718955889,0.0430483718955889
"7","mod7",NA,7,3254.47727707203,0.0580706435097683,0.0580706435097683
"8","mod8",NA,8,3256.45931268557,0.0580797535967537,0.0580797535967537
"9","mod9",NA,9,3253.93948524006,0.0627813151778531,0.0627813151778531
"10","mod10",NA,7,3276.72883066727,0.0449446490234067,0.0449446490234067
