"","model_number","desc","n_params","AICc","R2m","R2c"
"1","mod1",NA,4,149.398113868207,0,0.426624206667465
"2","mod2",NA,5,133.941572905043,0.00577730489950446,0.43692723212678
"3","mod3",NA,6,151.073271293142,0.0363748346872953,0.430730305834183
"4","mod4",NA,8,121.03280556172,0.0624984503603735,0.435573058143784
"5","mod5",NA,6,-39.2058728171556,0.132648298315367,0.414455337875508
"6","mod6",NA,8,-60.4697988824629,0.143497969980585,0.36452052512929
"7","mod7",NA,9,-58.3543342048823,0.144345331605222,0.365586131389967
"8","mod8",NA,10,-62.8012460369597,0.14948044050722,0.372980146065405
"9","mod9",NA,11,-57.2312458329076,0.149002956669062,0.370584733264137
"10","mod10",NA,12,-64.1021471228641,0.146937205491198,0.368255921638598
"11","mod11",NA,12,73.3082776801775,0.111139859686467,0.38126209734283
