"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.0725878518170945,0.0209593928122238,68.986535490946,3.46326119594268,0.000921137445104775
"scale(H.2011..m.)",-0.0813193265899766,0.0117664072988592,230.010059764661,-6.91114326782318,4.67999801660856e-11
"scale(BA.above2011)",-0.0323432806269799,0.0155721345779677,517.42754686241,-2.07699724562751,0.0382946331991738
"C.Cerrado..G.generalist.G",0.0852945473612274,0.0199250666164775,82.7241375132034,4.28076598201641,4.98287280732668e-05
"poly(PC1, 2)1",5.69339520177768,1.69451160667828,34.2813530666828,3.3599033369493,0.00192423132654369
"poly(PC1, 2)2",-1.43352157802749,1.07209534261981,25.9718846859637,-1.33712135575973,0.192777192013671
"poly(PC2, 2)1",-0.279329810285365,1.00972001236649,21.0415304141932,-0.276640857727181,0.784755129277761
"poly(PC2, 2)2",-3.93983611850675,1.60880782279198,28.135850350969,-2.44891655963571,0.0208144387789756
"scale(BA.above2011):C.Cerrado..G.generalist.G",-0.0320251717569918,0.0106665881092314,3644.42735058945,-3.00238196403925,0.0026969423676265
