Old number,Current number,Plot,Subplot,a=2006; n=2011; nv=2016,Exclude,Added,Alive2006,Alive2011,Alive2016,Family,Species (names not updated),C=Cerrado; G=generalist; ,Shade Tolerance,H 2016 m,DAP1/16,DAP2/16,DAP3/16,DAP4/16,DAP5/16,DAP6/16,DAP7/16,G2016 (m2),dg2016 (cm),H 2011 (m),DAP 1/11,DAP2/11,DAP3/11,DAP4/11,DAP5/11,DAP6/11,DAP7/11,G2011 (m2),dg 2011 (cm),H 2006,DAP1/06,DAP2/06,DAP3/06,DAP4/06,DAP5/06,DAP6/06,DAP7/06,G2006 (m2),dg2006 (cm),dg 2006 cm,dg 2011 cm,dg 2016 cm,dbh annual increment(cm)_10 years
2156,2156,12,2,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,8,14,17.8,,,,,,0.0403,22.6,7,13.5,17,,,,,,0.037,21.7,7,13.7,19.1,15.6,,,,,0.0624,28.2,28.2,21.71,22.65,-0.56
1550,1550,8,8,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,5.4,0,,,,,,0.0023,5.4,8,13.5,,,,,,,0.0143,13.5,7,10.5,,,,,,,0.0087,10.5,10.54,13.5,5.4,-0.51
4062,4062,31,6,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,12,15.4,,,,,,,0.0186,15.4,10,15.2,14.5,,,,,,0.0347,21,10,15,14,,,,,,0.033,20.5,20.49,21.01,15.4,-0.51
1593,1593,9,3,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,11,24.4,,,,,,,0.0468,24.4,11,17.8,24.5,,,,,,0.072,30.3,11,16,24.8,,,,,,0.0683,29.5,29.49,30.28,24.4,-0.51
2874,2874,26,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,17,30.5,,,,,,,0.0731,30.5,16,28.8,27.5,,,,,,0.1245,39.8,16,26.9,23.1,,,,,,0.0989,35.5,35.48,39.82,30.5,-0.5
2194,2194,12,7,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,4,7,,,,,,,0.0038,7,4,8.5,,,,,,,0.0057,8.5,4,8.6,6.4,5.3,,,,,0.0113,12,11.97,8.5,7,-0.5
1749,1749,10,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,10,13.8,,,,,,,0.015,13.8,9,17,13,,,,,,0.036,21.4,8,16.5,8.6,,,,,,0.0273,18.6,18.63,21.4,13.8,-0.48
2399,2399,16,6,a,,2006,v,v,v,MYRTACEAE,Myrcia guianensis (Aubl.) DC.,G,T,4,6.5,,,,,,,0.0033,6.5,4,6,7.5,5.5,,,,,0.0096,11.1,4,7.6,6.1,5.6,,,,,0.0099,11.2,11.25,11.07,6.5,-0.47
2226,2226,12,10,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,3.5,8.4,,,,,,,0.0055,8.4,4,10.5,7.5,,,,,,0.0131,12.9,4,9.7,8.9,,,,,,0.0135,13.1,13.12,12.9,8.4,-0.47
657,6070,1,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,5,,,,,,,0.002,5,6.5,6.9,,,,,,,0.0037,6.9,5,8.1,5.3,,,,,,0.0074,9.7,9.72,6.9,5,-0.47
2265,4312,14,6,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6,6.2,,,,,,,0.003,6.2,5,15.3,,,,,,,0.0184,15.3,2.5,10.7,,,,,,,0.0089,10.7,10.67,15.3,6.2,-0.45
1513,18061,8,5,a,,2006,v,v,v,MYRTACEAE,Myrcia bella Cambess,C,I,4,7,,,,,,,0.0038,7,,<5,,,,,,,#VALUE!,#VALUE!,2.5,11.4,,,,,,,0.0103,11.4,11.43,#VALUE!,7,-0.44
2201,4263,12,7,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,3,6,5.8,,,,,,0.0055,8.3,5,8.2,7.4,6.5,,,,,0.0129,12.8,5,8.4,7.6,5.8,,,,,0.0128,12.7,12.75,12.82,8.35,-0.44
2824,2824,26,6,a,,2006,v,v,v,COMBRETACEAE,Terminalia glabrescens Mart.,G,I,14,14,13,,,,,,0.0287,19.1,14,16,13,12,,,,,0.0447,23.9,14,15.5,11.9,12.4,,,,,0.0422,23.2,23.18,23.85,19.1,-0.41
2506,2506,16,7,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,6,21.3,25,25.6,,,,,0.1362,41.6,10,21.5,24.5,26,,,,,0.1365,41.7,10,21.6,23.6,25.1,20.8,,,,0.1642,45.7,45.72,41.7,41.64,-0.41
1902,6857,13,1,a,,2006,v,v,v,BOMBACACEAE,Eriotheca gracilipes (K.Schum.) A.Robyns,C,I,2.5,6.9,,,,,,,0.0037,6.9,4.5,8.6,,,,,,,0.0058,8.6,4.5,10.9,,,,,,,0.0094,10.9,10.92,8.6,6.9,-0.4
2657,2657,18,3,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,12,38.8,,,,,,,0.1182,38.8,12,38,,,,,,,0.1134,38,11,36.6,22.1,,,,,,0.1434,42.7,42.73,38,38.8,-0.39
2747,2747,18,10,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,10,10.9,,,,,,,0.0093,10.9,9,10.5,11.5,,,,,,0.019,15.6,8,9.7,11.2,,,,,,0.0171,14.8,14.77,15.57,10.9,-0.39
1516,1516,8,6,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,8,7.6,,,,,,,0.0045,7.6,7,7,,,,,,,0.0038,7,6,11.4,,,,,,,0.0103,11.4,11.43,7,7.6,-0.38
4533,4533,34,3,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,18,33,,,,,,,0.0855,33,16,35.3,,,,,,,0.0979,35.3,16,36.8,,,,,,,0.1065,36.8,36.83,35.3,33,-0.38
3122,3122,28,4,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,10,6.9,6.1,,,,,,0.0067,9.2,10,10,6.9,6,,,,,0.0144,13.6,10,9.4,6.9,5.8,,,,,0.0133,13,13.02,13.55,9.21,-0.38
2885,2885,27,1,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,9,10.4,,,,,,,0.0085,10.4,9,10.3,,,,,,,0.0083,10.3,11,10.2,9.9,,,,,,0.0158,14.2,14.19,10.3,10.4,-0.38
677,677,1,7,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,6.6,,,,,,,0.0034,6.6,9,11.5,,,,,,,0.0104,11.5,8,10.2,,,,,,,0.0081,10.2,10.16,11.5,6.6,-0.36
3901,3901,29,8,a,,2006,v,v,v,ANACARDIACEAE,Tapirira guianensis Aubl.,G,T,6,5.5,,,,,,,0.0024,5.5,7,5.9,,,,,,,0.0027,5.9,6,6.6,6.1,,,,,,0.0063,9,8.99,5.9,5.5,-0.35
1562,18782,8,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,6.1,,,,,,,0.0029,6.1,10,11.8,,,,,,,0.0109,11.8,8,9.4,,,,,,,0.0069,9.4,9.4,11.8,6.1,-0.33
1329,1329,7,10,a,,2006,v,v,v,FABACEAE,Platypodium elegans Vogel,G,I,8,16.2,,,,,,,0.0206,16.2,7.5,17,,,,,,,0.0227,17,7,19.3,,,,,,,0.0293,19.3,19.3,17,16.2,-0.31
2120,2120,20,9,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,24.3,,,,,,,0.0464,24.3,7.5,22.9,,,,,,,0.0412,22.9,6,21.3,17,,,,,,0.0585,27.3,27.29,22.9,24.3,-0.3
