Old number,Current number,Plot,Subplot,a=2006; n=2011; nv=2016,Exclude,Added,Alive2006,Alive2011,Alive2016,Family,Species (names not updated),C=Cerrado; G=generalist; ,Shade Tolerance,H 2016 m,DAP1/16,DAP2/16,DAP3/16,DAP4/16,DAP5/16,DAP6/16,DAP7/16,G2016 (m2),dg2016 (cm),H 2011 (m),DAP 1/11,DAP2/11,DAP3/11,DAP4/11,DAP5/11,DAP6/11,DAP7/11,G2011 (m2),dg 2011 (cm),H 2006,DAP1/06,DAP2/06,DAP3/06,DAP4/06,DAP5/06,DAP6/06,DAP7/06,G2006 (m2),dg2006 (cm),dg 2006 cm,dg 2011 cm,dg 2016 cm,dbh annual increment(cm)_10 years
4528,4528,34,3,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,16,12,,,,,,,0.0113,12,15,11.7,,,,,,,0.0108,11.7,15,11.2,,,,,,,0.0098,11.2,11.18,11.7,12,0.08
785,785,2,6,a,,2006,v,v,v,FABACEAE,Stryphnodendron obovatum Benth.,C,I,13.5,8.7,,,,,,,0.0059,8.7,7,9,,,,,,,0.0064,9,3,7.9,,,,,,,0.0049,7.9,7.87,9,8.7,0.08
1232,1232,7,1,a,,2006,v,v,v,FABACEAE,Platypodium elegans Vogel,G,I,8,8.7,,,,,,,0.0059,8.7,7,8.3,,,,,,,0.0054,8.3,6,7.9,,,,,,,0.0049,7.9,7.87,8.3,8.7,0.08
1946,1946,13,4,a,,2006,v,v,v,FABACEAE,Dimorphandra mollis Benth.,C,I,1.5,8.7,,,,,,,0.0059,8.7,1.5,9,,,,,,,0.0064,9,3.5,7.9,,,,,,,0.0049,7.9,7.87,9,8.7,0.08
3392,3392,29,8,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,15,18.1,,,,,,,0.0257,18.1,13,17.8,,,,,,,0.0249,17.8,10,17.3,,,,,,,0.0234,17.3,17.27,17.8,18.1,0.08
3737,3737,35,6,a,,2006,v,v,v,EUPHORBIACEAE,Croton floribundus Spreng.,F,I,11,14.8,,,,,,,0.0172,14.8,15,15,,,,,,,0.0177,15,14,14,,,,,,,0.0153,14,13.97,15,14.8,0.08
1070,1070,4,4,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,9.5,11.5,,,,,,,0.0104,11.5,9.5,11,,,,,,,0.0095,11,9,10.7,,,,,,,0.0089,10.7,10.67,11,11.5,0.08
2997,2997,27,6,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,11.5,,,,,,,0.0104,11.5,8,11,,,,,,,0.0095,11,10,10.7,,,,,,,0.0089,10.7,10.67,11,11.5,0.08
3606,3606,32,8,a,,2006,v,v,v,EUPHORBIACEAE,Mabea fistulifera Mart.,G,T,11,11.5,,,,,,,0.0104,11.5,11,11.5,,,,,,,0.0104,11.5,11,10.7,,,,,,,0.0089,10.7,10.67,11.5,11.5,0.08
4335,4335,33,4,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,8,8.2,,,,,,,0.0053,8.2,7,8,,,,,,,0.005,8,7,7.4,,,,,,,0.0043,7.4,7.37,8,8.2,0.08
1335,1335,7,10,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,3.5,14.3,,,,,,,0.0161,14.3,8,13.5,,,,,,,0.0143,13.5,8,13.5,,,,,,,0.0142,13.5,13.46,13.5,14.3,0.08
1614,1614,9,4,a,,2006,v,v,v,VOCHYSIACEAE,Qualea grandiflora Mart.,C,I,9,11,,,,,,,0.0095,11,7.6,10.5,,,,,,,0.0087,10.5,5,10.2,,,,,,,0.0081,10.2,10.16,10.5,11,0.08
2783,2783,26,4,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,12,11,,,,,,,0.0095,11,12,10.7,,,,,,,0.009,10.7,12,10.2,,,,,,,0.0081,10.2,10.16,10.7,11,0.08
3846,3846,31,2,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,8,11,,,,,,,0.0095,11,13,10.7,,,,,,,0.009,10.7,11,10.2,,,,,,,0.0081,10.2,10.16,10.7,11,0.08
2592,2592,17,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,7.7,,,,,,,0.0047,7.7,7,7.5,,,,,,,0.0044,7.5,9,6.9,,,,,,,0.0037,6.9,6.86,7.5,7.7,0.08
4157,4157,32,1,a,,2006,v,v,v,MYRTACEAE,Myrcia multiflora (Lam.) DC.,G,T,11,7.7,,,,,,,0.0047,7.7,10,7.4,,,,,,,0.0043,7.4,8,6.9,,,,,,,0.0037,6.9,6.86,7.4,7.7,0.08
1406,1406,6,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,16.4,12.6,,,,,,0.0336,20.7,10,16.7,13.7,,,,,,0.0366,21.6,9,15.2,12.7,,,,,,0.0309,19.8,19.84,21.6,20.68,0.08
2614,2614,17,8,a,,2006,v,v,v,MYRTACEAE,Myrcia bella Cambess,C,I,8,17.1,,,,,,,0.023,17.1,7,16.7,,,,,,,0.0219,16.7,6,16.3,,,,,,,0.0208,16.3,16.26,16.7,17.1,0.08
1231,1231,7,1,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,10.5,,,,,,,0.0087,10.5,7,10.5,,,,,,,0.0087,10.5,6.5,9.7,,,,,,,0.0073,9.7,9.65,10.5,10.5,0.08
3994,3994,30,3,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,9,10.5,,,,,,,0.0087,10.5,8,10,,,,,,,0.0079,10,8,9.7,,,,,,,0.0073,9.7,9.65,10,10.5,0.08
4304,4304,33,2,a,,2006,v,v,v,EUPHORBIACEAE,Mabea fistulifera Mart.,G,T,13,7,7.9,,,,,,0.0088,10.6,12,7,7.6,,,,,,0.0084,10.3,10,7.1,6.6,,,,,,0.0074,9.7,9.71,10.33,10.56,0.08
3136,3136,28,5,a,,2006,v,v,v,MORACEAE,Pseudolmedia laevigata Trécul,G,T,10,7.2,,,,,,,0.0041,7.2,10,7.2,,,,,,,0.0041,7.2,10,6.4,,,,,,,0.0032,6.4,6.35,7.2,7.2,0.09
3835,3835,31,2,a,,2006,v,v,v,LAURACEAE,Nectandra cuspidata Nees & Mart.,G,T,9,7.2,,,,,,,0.0041,7.2,8.5,6.5,,,,,,,0.0033,6.5,7.5,6.4,,,,,,,0.0032,6.4,6.35,6.5,7.2,0.09
1633,1633,9,5,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,7,10,,,,,,,0.0079,10,6,9.2,,,,,,,0.0066,9.2,6,9.1,,,,,,,0.0066,9.1,9.14,9.2,10,0.09
4070,4070,31,7,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,11,10,,,,,,,0.0079,10,10.5,9.5,,,,,,,0.0071,9.5,10,9.1,,,,,,,0.0066,9.1,9.14,9.5,10,0.09
4488,4488,34,1,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,10,10,,,,,,,0.0079,10,12,9.8,,,,,,,0.0075,9.8,11,9.1,,,,,,,0.0066,9.1,9.14,9.8,10,0.09
2180,2180,12,4,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,6,6.7,,,,,,,0.0035,6.7,5,6.5,,,,,,,0.0033,6.5,4.5,5.8,,,,,,,0.0027,5.8,5.84,6.5,6.7,0.09
2348,2348,15,10,a,,2006,v,v,v,FABACEAE,Stryphnodendron obovatum Benth.,C,I,5,6.7,,,,,,,0.0035,6.7,4,6.3,,,,,,,0.0031,6.3,3,5.8,,,,,,,0.0027,5.8,5.84,6.3,6.7,0.09
4495,4495,34,1,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,8,6.7,,,,,,,0.0035,6.7,8,6.5,,,,,,,0.0033,6.5,8,5.8,,,,,,,0.0027,5.8,5.84,6.5,6.7,0.09
4605,4605,34,6,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,9,6.7,,,,,,,0.0035,6.7,7,6.1,,,,,,,0.0029,6.1,10,5.8,,,,,,,0.0027,5.8,5.84,6.1,6.7,0.09
1331,9704,7,10,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,12,20.5,16.3,,,,,,0.0539,26.2,12,20,16,,,,,,0.0515,25.6,12,19.8,15.8,,,,,,0.0504,25.3,25.33,25.61,26.19,0.09
4382,1015,33,6,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,13,16.1,,,,,,,0.0204,16.1,12,15.7,,,,,,,0.0194,15.7,12,15.2,,,,,,,0.0182,15.2,15.24,15.7,16.1,0.09
1112,9373,4,8,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,7,12.8,,,,,,,0.0129,12.8,7,13,,,,,,,0.0133,13,6,11.9,,,,,,,0.0112,11.9,11.94,13,12.8,0.09
1060,1060,4,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,8,9.5,,,,,,,0.0071,9.5,7,9.5,,,,,,,0.0071,9.5,6,8.6,,,,,,,0.0059,8.6,8.64,9.5,9.5,0.09
1820,1820,10,10,a,,2006,v,v,v,BOMBACACEAE,Eriotheca gracilipes (K.Schum.) A.Robyns,C,I,6,9.5,,,,,,,0.0071,9.5,5,9,,,,,,,0.0064,9,3.5,8.6,,,,,,,0.0059,8.6,8.64,9,9.5,0.09
2673,2673,18,5,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,6,9.5,,,,,,,0.0071,9.5,6,9.5,,,,,,,0.0071,9.5,9,8.6,,,,,,,0.0059,8.6,8.64,9.5,9.5,0.09
2735,2735,18,10,a,,2006,v,v,v,ANNONACEAE,Xylopia aromatica (Lam.) Mart.,C,I,8,9.5,,,,,,,0.0071,9.5,7,9,,,,,,,0.0064,9,5,8.6,,,,,,,0.0059,8.6,8.64,9,9.5,0.09
4353,4353,33,4,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,13,9.5,,,,,,,0.0071,9.5,15,9.4,,,,,,,0.0069,9.4,15,8.6,,,,,,,0.0059,8.6,8.64,9.4,9.5,0.09
4422,4422,33,8,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,7,9.5,,,,,,,0.0071,9.5,7,9.5,,,,,,,0.0071,9.5,7,8.6,,,,,,,0.0059,8.6,8.64,9.5,9.5,0.09
1714,1714,10,2,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,31.6,,,,,,,0.0784,31.6,10,30.9,,,,,,,0.075,30.9,10,30.7,,,,,,,0.0742,30.7,30.73,30.9,31.6,0.09
1532,1532,8,7,a,,2006,v,v,v,MYRSINACEAE,Rapanea umbellata (Mart.) Mez.,G,T,8,6.2,,,,,,,0.003,6.2,6.5,5.8,,,,,,,0.0026,5.8,5,5.3,,,,,,,0.0022,5.3,5.33,5.8,6.2,0.09
1878,1878,11,7,a,,2006,v,v,v,FABACEAE,Dimorphandra mollis Benth.,C,I,3,6.2,,,,,,,0.003,6.2,2,6,,,,,,,0.0028,6,3,5.3,,,,,,,0.0022,5.3,5.33,6,6.2,0.09
2472,2472,15,3,a,,2006,v,v,v,LYTHRACEAE,Lafoensia pacari A.St.-Hil.,G,T,5,6.2,,,,,,,0.003,6.2,4,6,,,,,,,0.0028,6,2.5,5.3,,,,,,,0.0022,5.3,5.33,6,6.2,0.09
2591,2591,17,5,a,,2006,v,v,v,FABACEAE,Stryphnodendron obovatum Benth.,C,I,2.5,6.2,,,,,,,0.003,6.2,3,5.9,,,,,,,0.0027,5.9,3.5,5.3,,,,,,,0.0022,5.3,5.33,5.9,6.2,0.09
4216,4216,32,3,a,,2006,v,v,v,MYRTACEAE,Myrcia multiflora (Lam.) DC.,G,T,10,6.2,,,,,,,0.003,6.2,9,5.8,,,,,,,0.0026,5.8,8,5.3,,,,,,,0.0022,5.3,5.33,5.8,6.2,0.09
3676,3676,35,2,a,,2006,v,v,v,MYRTACEAE,Myrcia guianensis (Aubl.) DC.,G,T,6,6.2,,,,,,,0.003,6.2,5,6.1,,,,,,,0.0029,6.1,3,5.3,,,,,,,0.0022,5.3,5.33,6.1,6.2,0.09
4268,4268,32,5,a,,2006,v,v,v,COMBRETACEAE,Terminalia glabrescens Mart.,G,I,15,15.6,,,,,,,0.0191,15.6,15,15,,,,,,,0.0177,15,13,14.7,,,,,,,0.017,14.7,14.73,15,15.6,0.09
3137,3137,28,5,a,,2006,v,v,v,LAURACEAE,Persea wildenovii Kosterm.,G,T,15,12.3,,,,,,,0.0119,12.3,15,12,,,,,,,0.0113,12,14,11.4,,,,,,,0.0103,11.4,11.43,12,12.3,0.09
3642,3642,32,10,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,12,12.9,16.5,,,,,,0.0345,20.9,11,12.9,16.6,,,,,,0.0347,21,10,15.7,12.4,,,,,,0.0316,20.1,20.07,21.02,20.94,0.09
2713,2713,18,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,9,,,,,,,0.0064,9,7,8.4,,,,,,,0.0055,8.4,7,8.1,,,,,,,0.0052,8.1,8.13,8.4,9,0.09
3806,3806,31,1,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,11,9,,,,,,,0.0064,9,9,8.5,,,,,,,0.0057,8.5,8,8.1,,,,,,,0.0052,8.1,8.13,8.5,9,0.09
2830,2830,26,6,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,12,15.1,,,,,,,0.0179,15.1,12,14.5,,,,,,,0.0165,14.5,12,14.2,,,,,,,0.0159,14.2,14.22,14.5,15.1,0.09
3026,3026,27,8,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,9,12,9,,,,,,0.0177,15,8,12,8.8,,,,,,0.0174,14.9,11,11.2,8.6,,,,,,0.0157,14.1,14.12,14.88,15,0.09
4002,4002,31,4,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,10,11.8,,,,,,,0.0109,11.8,8,11.3,,,,,,,0.01,11.3,12,10.9,,,,,,,0.0094,10.9,10.92,11.3,11.8,0.09
2085,2085,20,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,5,8.5,,,,,,,0.0057,8.5,3,9.3,,,,,,,0.0068,9.3,5.5,7.6,,,,,,,0.0046,7.6,7.62,9.3,8.5,0.09
3318,3318,29,4,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,10,8.5,,,,,,,0.0057,8.5,10,8,,,,,,,0.005,8,10,7.6,,,,,,,0.0046,7.6,7.62,8,8.5,0.09
3819,3819,31,1,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,13,11.3,,,,,,,0.01,11.3,13,11.2,,,,,,,0.0099,11.2,12,10.4,,,,,,,0.0085,10.4,10.41,11.2,11.3,0.09
605,605,1,1,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,4.5,8,,,,,,,0.005,8,3.8,8.5,,,,,,,0.0057,8.5,3.5,7.1,,,,,,,0.004,7.1,7.11,8.5,8,0.09
3179,3179,28,6,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,8,8,,,,,,,0.005,8,8,7.5,,,,,,,0.0044,7.5,8,7.1,,,,,,,0.004,7.1,7.11,7.5,8,0.09
1405,1405,6,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,10,16.9,,,,,,,0.0224,16.9,10,11.2,16,,,,,,0.03,19.5,9,10.7,11.9,,,,,,0.0201,16,16.01,19.53,16.9,0.09
3241,3241,28,10,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,16,16,17.6,,,,,,0.0444,23.8,14,15.7,17.5,,,,,,0.0434,23.5,13,17.5,14.7,,,,,,0.0412,22.9,22.9,23.51,23.79,0.09
3361,3361,29,6,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,9,7.5,,,,,,,0.0044,7.5,8,7,,,,,,,0.0038,7,7,6.6,,,,,,,0.0034,6.6,6.6,7,7.5,0.09
1378,1378,6,4,a,,2006,v,v,v,FABACEAE,Machaerium acutifolium Vogel,C,I,10,18.9,,,,,,,0.0281,18.9,10,18.5,,,,,,,0.0269,18.5,10,18,,,,,,,0.0254,18,18,18.5,18.9,0.09
1191,1191,5,7,a,,2006,v,v,v,BOMBACACEAE,Eriotheca gracilipes (K.Schum.) A.Robyns,C,I,5.5,9.9,,,,,,,0.0077,9.9,5,9.5,,,,,,,0.0071,9.5,4,9,,,,,,,0.0064,9,9,9.5,9.9,0.09
1609,1609,9,4,a,,2006,v,v,v,FABACEAE,Anadenanthera falcata (Benth.) Speg.,C,I,2,9.9,,,,,,,0.0077,9.9,5,9.5,,,,,,,0.0071,9.5,5,9,,,,,,,0.0064,9,9,9.5,9.9,0.09
,4301,28,6,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,10,12.9,,,,,,,0.0131,12.9,9,12,,,,,,,0.0113,12,8,12,,,,,,,0.0113,12,12,,12.9,0.09
2383,105,16,4,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,10,13.6,,,,,,,0.0145,13.6,8.5,13,,,,,,,0.0133,13,8,12.7,,,,,,,0.0127,12.7,12.7,13,13.6,0.09
4081,4081,31,7,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,12,13.6,,,,,,,0.0145,13.6,11.5,13,,,,,,,0.0133,13,11,12.7,,,,,,,0.0127,12.7,12.7,13,13.6,0.09
4124,4124,31,9,a,,2006,v,v,v,RUBIACEAE,Amaioua intermedia Mart.,G,T,9,7,,,,,,,0.0038,7,9,6.9,,,,,,,0.0037,6.9,9,6.1,,,,,,,0.0029,6.1,6.1,6.9,7,0.09
4417,4417,33,7,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,9,7,,,,,,,0.0038,7,9,6.6,,,,,,,0.0034,6.6,9,6.1,,,,,,,0.0029,6.1,6.1,6.6,7,0.09
3438,3438,30,5,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,10,13.1,,,,,,,0.0135,13.1,9,12.8,,,,,,,0.0129,12.8,9,12.2,,,,,,,0.0117,12.2,12.19,12.8,13.1,0.09
3508,3508,30,7,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,7,9.8,,,,,,,0.0075,9.8,7,9.2,,,,,,,0.0066,9.2,7,8.9,,,,,,,0.0062,8.9,8.89,9.2,9.8,0.09
4151,4151,31,10,a,,2006,v,v,v,RUBIACEAE,Amaioua intermedia Mart.,G,T,12,9.8,,,,,,,0.0075,9.8,11,9.6,,,,,,,0.0072,9.6,10,8.9,,,,,,,0.0062,8.9,8.89,9.6,9.8,0.09
2146,2146,12,1,a,,2006,v,v,v,VOCHYSIACEAE,Qualea cordata (Mart.) Spreng.,C,I,5,6.5,,,,,,,0.0033,6.5,4,6.5,,,,,,,0.0033,6.5,3,5.6,,,,,,,0.0025,5.6,5.59,6.5,6.5,0.09
2318,2318,15,8,a,,2006,v,v,v,FABACEAE,Acosmium subelegans (Mohlenbr.) Yakovlev,C,I,4,6.5,,,,,,,0.0033,6.5,4.5,6.5,,,,,,,0.0033,6.5,3.5,5.6,,,,,,,0.0025,5.6,5.59,6.5,6.5,0.09
4458,4458,33,9,a,,2006,v,v,v,COMBRETACEAE,Terminalia glabrescens Mart.,G,I,19,34.7,,,,,,,0.0946,34.7,19,34.5,,,,,,,0.0935,34.5,17,33.8,,,,,,,0.0896,33.8,33.78,34.5,34.7,0.09
1343,1343,6,1,a,,2006,v,v,v,BOMBACACEAE,Eriotheca gracilipes (K.Schum.) A.Robyns,C,I,3,6,,,,,,,0.0028,6,3,5.4,,,,,,,0.0023,5.4,3,5.1,,,,,,,0.002,5.1,5.08,5.4,6,0.09
1250,1250,7,2,a,,2006,v,v,v,FABACEAE,Stryphnodendron obovatum Benth.,C,I,4,6,,,,,,,0.0028,6,3,5.8,,,,,,,0.0026,5.8,3,5.1,,,,,,,0.002,5.1,5.08,5.8,6,0.09
3281,3281,29,2,a,,2006,v,v,v,ANNONACEAE,Xylopia aromatica (Lam.) Mart.,C,I,7,6,,,,,,,0.0028,6,6,5.5,,,,,,,0.0024,5.5,6,5.1,,,,,,,0.002,5.1,5.08,5.5,6,0.09
3998,3998,30,3,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,10,6,,,,,,,0.0028,6,7,5.6,,,,,,,0.0025,5.6,5,5.1,,,,,,,0.002,5.1,5.08,5.6,6,0.09
3510,3510,30,7,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,5,6,,,,,,,0.0028,6,7,5.7,,,,,,,0.0026,5.7,6,5.1,,,,,,,0.002,5.1,5.08,5.7,6,0.09
4229,4229,32,3,a,,2006,v,v,v,EUPHORBIACEAE,Maprounea guianensis Aubl.,G,T,9,6,,,,,,,0.0028,6,9,5.5,,,,,,,0.0024,5.5,9,5.1,,,,,,,0.002,5.1,5.08,5.5,6,0.09
4604,4604,34,6,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,8,6,,,,,,,0.0028,6,7,5.5,,,,,,,0.0024,5.5,6,5.1,,,,,,,0.002,5.1,5.08,5.5,6,0.09
4632,4632,34,8,a,,2006,v,v,v,MYRTACEAE,Eugenia pluriflora DC.,G,T,9,6,,,,,,,0.0028,6,8,5.6,,,,,,,0.0025,5.6,8,5.1,,,,,,,0.002,5.1,5.08,5.6,6,0.09
3659,3659,35,1,a,,2006,v,v,v,ANNONACEAE,Xylopia aromatica (Lam.) Mart.,C,I,8,6,,,,,,,0.0028,6,7,5.5,,,,,,,0.0024,5.5,5,5.1,,,,,,,0.002,5.1,5.08,5.5,6,0.09
2413,2413,14,9,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,9,12.1,,,,,,,0.0115,12.1,10,11.8,,,,,,,0.0109,11.8,10,11.2,,,,,,,0.0098,11.2,11.18,11.8,12.1,0.09
4201,4201,32,2,a,,2006,v,v,v,COMBRETACEAE,Terminalia glabrescens Mart.,G,I,13,12.1,,,,,,,0.0115,12.1,12,11.6,,,,,,,0.0106,11.6,12,11.2,,,,,,,0.0098,11.2,11.18,11.6,12.1,0.09
4603,4603,34,6,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,8,7,6,,,,,,0.0067,9.2,8,6.5,5.5,,,,,,0.0057,8.5,8,6.4,5.3,,,,,,0.0054,8.3,8.29,8.51,9.22,0.09
940,940,3,1,a,,2006,v,v,v,BOMBACACEAE,Eriotheca gracilipes (K.Schum.) A.Robyns,C,I,3.2,6.6,6.2,,,,,,0.0064,9.1,3,6,5.8,,,,,,0.0055,8.3,2.5,8.1,,,,,,,0.0052,8.1,8.13,8.35,9.06,0.09
1418,1418,6,5,a,,2006,v,v,v,OCHNACEAE,Ouratea spectabilis (Mart. ex Engl.) Engl.,C,I,4.5,11.6,,,,,,,0.0106,11.6,4.5,11,,,,,,,0.0095,11,4,10.7,,,,,,,0.0089,10.7,10.67,11,11.6,0.09
3300,3300,29,3,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,12,11.6,,,,,,,0.0106,11.6,10,11.3,,,,,,,0.01,11.3,10,10.7,,,,,,,0.0089,10.7,10.67,11.3,11.6,0.09
4248,4248,32,4,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,13,9.5,9.6,,,,,,0.0143,13.5,12,7,9.2,,,,,,0.0105,11.6,11,8.9,8.9,,,,,,0.0124,12.6,12.57,11.56,13.51,0.09
2474,2474,15,3,a,,2006,v,v,v,ASTERACEAE,Gochnatia polymorpha (Less.) Cabrera,G,I,10,19.1,,,,,,,0.0287,19.1,9,18.3,,,,,,,0.0263,18.3,8,17,6.4,,,,,,0.0259,18.2,18.16,18.3,19.1,0.09
4648,4648,34,8,a,,2006,v,v,v,FABACEAE,Copaifera langsdorffii Desf.,G,T,15,14.4,,,,,,,0.0163,14.4,13,13.7,,,,,,,0.0147,13.7,13,13.5,,,,,,,0.0142,13.5,13.46,13.7,14.4,0.09
3088,3088,28,3,a,,2006,v,v,v,RUBIACEAE,Faramea montevidensis (Cham. & Schltdl) DC. ,G,T,8,7.2,6.3,,,,,,0.0072,9.6,9,7.2,6.2,,,,,,0.0071,9.5,9,6.4,5.8,,,,,,0.0058,8.6,8.63,9.5,9.57,0.09
2343,2343,15,10,a,,2006,v,v,v,LAURACEAE,Ocotea corymbosa (Meisn.) Mez.,G,T,7,6.4,,,,,,,0.0032,6.4,7.5,6,,,,,,,0.0028,6,7,5.5,,,,,,,0.0023,5.5,5.46,6,6.4,0.09
3715,3715,35,3,a,,2006,v,v,v,MYRSINACEAE,Rapanea umbellata (Mart.) Mez.,G,T,9,5.6,5.9,,,,,,0.0052,8.1,9,5.8,,,,,,,0.0026,5.8,9,5.3,4.8,,,,,,0.0041,7.2,7.19,5.8,8.13,0.09
4452,4452,33,9,a,,2006,v,v,v,MONIMIACEAE,Siparuna guianensis Aubl.,G,T,8,7.8,,,,,,,0.0048,7.8,8,7.4,,,,,,,0.0043,7.4,8,6.9,,,,,,,0.0037,6.9,6.86,7.4,7.8,0.09
2388,2388,16,5,a,,2006,v,v,v,VOCHYSIACEAE,Vochysia tucanorum Mart.,G,I,8,13.2,,,,,,,0.0137,13.2,6,11.5,6.5,,,,,,0.0137,13.2,5,6.9,10.2,,,,,,0.0118,12.3,12.26,13.21,13.2,0.09
1733,1733,10,3,a,,2006,v,v,v,ANNONACEAE,Annona crassiflora Mart.,C,I,8,7.3,,,,,,,0.0042,7.3,6,7,,,,,,,0.0038,7,5,6.4,,,,,,,0.0032,6.4,6.35,7,7.3,0.1
3109,3109,28,4,a,,2006,v,v,v,LAURACEAE,Nectandra cuspidata Nees & Mart.,G,T,11,7.3,,,,,,,0.0042,7.3,11,7,,,,,,,0.0038,7,11,6.4,,,,,,,0.0032,6.4,6.35,7,7.3,0.1
4144,4144,31,10,a,,2006,v,v,v,BURSERACEAE,Protium heptaphyllum (Aubl.) Marchand,G,T,10,7.3,,,,,,,0.0042,7.3,10,6.9,,,,,,,0.0037,6.9,10,6.4,,,,,,,0.0032,6.4,6.35,6.9,7.3,0.1
1340,1340,7,10,a,,2006,v,v,v,FABACEAE,Platypodium elegans Vogel,G,I,6.5,13.4,,,,,,,0.0141,13.4,6,13,,,,,,,0.0133,13,6,12.4,,,,,,,0.0122,12.4,12.45,13,13.4,0.1
4481,4481,34,1,a,,2006,v,v,v,EUPHORBIACEAE,Pera obovata (Klotzsch) Baill.,G,T,11,13.4,,,,,,,0.0141,13.4,10,13.5,,,,,,,0.0143,13.5,10,12.4,,,,,,,0.0122,12.4,12.45,13.5,13.4,0.1
